Image,Letter,Landmarks
000010.png,A,"0.7143635749816895,0.5676552057266235,-3.2611083611300273e-07,0.685361385345459,0.4517519772052765,-0.02793913520872593,0.5993556976318359,0.3760685622692108,-0.03193775564432144,0.5167524218559265,0.35813066363334656,-0.03620976209640503,0.45177480578422546,0.3462689518928528,-0.03702588006854057,0.5085088014602661,0.4174131155014038,0.0034654538612812757,0.4751019775867462,0.3854578733444214,-0.03848711773753166,0.5309839844703674,0.4112277925014496,-0.064239002764225,0.5872365832328796,0.43653780221939087,-0.07144218683242798,0.4896065294742584,0.49129611253738403,0.005813376512378454,0.46268245577812195,0.4625090956687927,-0.042863085865974426,0.5387066006660461,0.48603904247283936,-0.058913324028253555,0.6060588359832764,0.5041509866714478,-0.053241580724716187,0.4840179979801178,0.5653375387191772,0.0007250325288623571,0.47174206376075745,0.5402401089668274,-0.0514327771961689,0.556780219078064,0.558381974697113,-0.049894530326128006,0.6208019852638245,0.5734134912490845,-0.03016696497797966,0.4908658266067505,0.6379894018173218,-0.00609566830098629,0.48817768692970276,0.6189640760421753,-0.04791966453194618,0.5574626922607422,0.6206003427505493,-0.04597507044672966,0.6086131930351257,0.6217083930969238,-0.02938671223819256"
000011.png,A,"0.6853236556053162,0.6348975896835327,-7.444061793648871e-07,0.6821231245994568,0.49948740005493164,-0.0584736168384552,0.6133471131324768,0.4056045413017273,-0.08421394228935242,0.5432109832763672,0.36440616846084595,-0.10212421417236328,0.4842962622642517,0.3280182480812073,-0.11398050934076309,0.4949869215488434,0.40977656841278076,-0.07062564045190811,0.5231755375862122,0.39607277512550354,-0.14148736000061035,0.5866805911064148,0.44982627034187317,-0.1808413863182068,0.628997802734375,0.4902932047843933,-0.19727282226085663,0.4644588232040405,0.4802612066268921,-0.060249797999858856,0.5276052355766296,0.48911774158477783,-0.13187512755393982,0.5945757627487183,0.532377302646637,-0.14792491495609283,0.635989248752594,0.5515570044517517,-0.1448388546705246,0.4596542418003082,0.5519020557403564,-0.05949172377586365,0.5462226271629333,0.5711807608604431,-0.11950927972793579,0.6029746532440186,0.5900327563285828,-0.1166258379817009,0.6296951770782471,0.5906445384025574,-0.10197479277849197,0.4678093194961548,0.6217324733734131,-0.06508923321962357,0.5451949834823608,0.6393283009529114,-0.1053575947880745,0.5999326109886169,0.6470218300819397,-0.10864844918251038,0.6220848560333252,0.6361545324325562,-0.10069272667169571"
000012.png,A,"0.6738524436950684,0.6884265542030334,-7.780158739478793e-07,0.6800850033760071,0.5625959634780884,-0.034693993628025055,0.6266493201255798,0.4486433267593384,-0.0450088195502758,0.5682172179222107,0.39304596185684204,-0.05164479464292526,0.521623432636261,0.3500155210494995,-0.05300331115722656,0.5089184045791626,0.4136112630367279,-0.022834986448287964,0.5268035531044006,0.38096147775650024,-0.06399105489253998,0.580206573009491,0.4481388032436371,-0.0899326503276825,0.6190783381462097,0.5104993581771851,-0.09954289346933365,0.4651988744735718,0.46880918741226196,-0.015519625507295132,0.5209721922874451,0.4699649512767792,-0.05233049392700195,0.581790030002594,0.5370211005210876,-0.061391811817884445,0.621611475944519,0.5834596753120422,-0.05824074521660805,0.4458862841129303,0.5363284945487976,-0.015160785056650639,0.5100511908531189,0.5473808646202087,-0.04833408445119858,0.5678655505180359,0.5981273055076599,-0.04538578540086746,0.6085207462310791,0.6325767040252686,-0.03380662202835083,0.4421689510345459,0.606774091720581,-0.0188120286911726,0.4959086775779724,0.620954155921936,-0.04162009805440903,0.549078106880188,0.6510690450668335,-0.04116016998887062,0.5838629603385925,0.6661258935928345,-0.031584031879901886"
000013.png,A,"0.7314902544021606,0.5490450263023376,-2.8939652452208975e-08,0.6814773678779602,0.4163772463798523,-0.014826877042651176,0.5748212337493896,0.35203373432159424,-0.011995258741080761,0.4899281859397888,0.3467389941215515,-0.01588507369160652,0.4280266761779785,0.3631269335746765,-0.016207123175263405,0.499330073595047,0.39306825399398804,0.03543803468346596,0.45796677470207214,0.39493125677108765,-0.01087504718452692,0.5201559662818909,0.40335023403167725,-0.04179338365793228,0.5705313086509705,0.4014582633972168,-0.053910717368125916,0.48940399289131165,0.4662398099899292,0.027095157653093338,0.460587739944458,0.4667821228504181,-0.031296856701374054,0.5414201617240906,0.4639296233654022,-0.056554365903139114,0.5995880961418152,0.461958646774292,-0.057514291256666183,0.4911828637123108,0.5403429865837097,0.009804585948586464,0.46825674176216125,0.5442032814025879,-0.05027124658226967,0.5562649965286255,0.5355044007301331,-0.05229621008038521,0.6164458394050598,0.5294819474220276,-0.034613993018865585,0.5058096647262573,0.6177272200584412,-0.009242489002645016,0.4921305179595947,0.6126051545143127,-0.05194230005145073,0.5552051067352295,0.5976783037185669,-0.05408896505832672,0.6025379300117493,0.5774635076522827,-0.042270246893167496"
000014.png,A,"0.733662486076355,0.4962945580482483,-4.2066992023137573e-07,0.6795550584793091,0.39183875918388367,-0.021959194913506508,0.5746592283248901,0.3442996144294739,-0.027233602479100227,0.49421149492263794,0.36521708965301514,-0.03410074859857559,0.4299454391002655,0.37224921584129333,-0.036170002073049545,0.47636911273002625,0.43004974722862244,-0.0038413621950894594,0.4480910897254944,0.38308003544807434,-0.045987777411937714,0.5205627679824829,0.38787877559661865,-0.06912324577569962,0.5859663486480713,0.40093857049942017,-0.07385977357625961,0.4745001494884491,0.504658043384552,-0.005863632541149855,0.46022829413414,0.4461175203323364,-0.04962176829576492,0.5402770042419434,0.4467064440250397,-0.060408301651477814,0.6081679463386536,0.45431703329086304,-0.05403410270810127,0.4876624345779419,0.574195921421051,-0.014494750648736954,0.4856046736240387,0.511971652507782,-0.062108177691698074,0.5707889795303345,0.5047513842582703,-0.05864688381552696,0.6371768712997437,0.5077980160713196,-0.03996584936976433,0.5134243965148926,0.6372718811035156,-0.024659307673573494,0.5008699297904968,0.5792993307113647,-0.06177884340286255,0.5662758946418762,0.5522037744522095,-0.05842633172869682,0.6206806302070618,0.5409219861030579,-0.042891472578048706"
000015.png,A,"0.7084031105041504,0.6416584253311157,-1.0256010227749357e-06,0.6790192723274231,0.5112935900688171,-0.02611996792256832,0.6071417331695557,0.4113761782646179,-0.03606843948364258,0.5497482419013977,0.3703152537345886,-0.04636210575699806,0.5012248754501343,0.3409019112586975,-0.053190987557172775,0.4873194098472595,0.4304143190383911,-0.010289602912962437,0.5200634002685547,0.3789171576499939,-0.051329318434000015,0.5840933918952942,0.4207136631011963,-0.08333026617765427,0.6300489902496338,0.4678400456905365,-0.09919599443674088,0.4596591591835022,0.4924396872520447,-0.010317260399460793,0.5280560851097107,0.4472498595714569,-0.050199635326862335,0.5990528464317322,0.5010133385658264,-0.06995077431201935,0.6464544534683228,0.5425273776054382,-0.07535804808139801,0.4559715986251831,0.5580381751060486,-0.01580214872956276,0.5249849557876587,0.5231678485870361,-0.05309141054749489,0.5921348333358765,0.5683044791221619,-0.058816757053136826,0.6366552114486694,0.6049267649650574,-0.05312366783618927,0.4675639271736145,0.6264978647232056,-0.024473601952195168,0.5263662934303284,0.5945482850074768,-0.04737141355872154,0.5824006795883179,0.6104726195335388,-0.047529641538858414,0.615860641002655,0.62596595287323,-0.03974746912717819"
000016.png,A,"0.6970531940460205,0.6353204250335693,-7.219900908239651e-07,0.6869157552719116,0.5209779739379883,-0.043187472969293594,0.6220732927322388,0.41627180576324463,-0.05767689645290375,0.5465763807296753,0.3745691180229187,-0.06612107157707214,0.48583921790122986,0.33988887071609497,-0.0708070620894432,0.5058411955833435,0.4169464707374573,-0.03827003017067909,0.5169459581375122,0.4376964569091797,-0.08103182911872864,0.5715836882591248,0.48385360836982727,-0.1089363619685173,0.6145813465118408,0.5175279378890991,-0.11960622668266296,0.4696211814880371,0.4887278378009796,-0.026242362335324287,0.5131953954696655,0.5278028249740601,-0.0674484446644783,0.5778251886367798,0.5609368085861206,-0.08299597352743149,0.6303751468658447,0.5787470936775208,-0.08371534943580627,0.4574251174926758,0.5590379238128662,-0.019990604370832443,0.5060912370681763,0.601311206817627,-0.05713827535510063,0.5698132514953613,0.6190374493598938,-0.05955969914793968,0.6213017106056213,0.6253153681755066,-0.05045780912041664,0.4603900909423828,0.6248627305030823,-0.01789110153913498,0.49322986602783203,0.6611751914024353,-0.045602552592754364,0.5454527735710144,0.6731323599815369,-0.048634883016347885,0.5837110280990601,0.6706169843673706,-0.04048352316021919"
000017.png,A,"0.6994557976722717,0.6084325909614563,-5.314362852004706e-07,0.6822628974914551,0.49659979343414307,-0.04263254627585411,0.6072418093681335,0.40527239441871643,-0.05479542165994644,0.5223517417907715,0.3771538734436035,-0.06148172542452812,0.45944130420684814,0.34854573011398315,-0.06344795972108841,0.4912342429161072,0.4144156575202942,-0.026868917047977448,0.48907196521759033,0.42354777455329895,-0.07359550893306732,0.5514375567436218,0.4603751003742218,-0.10052181035280228,0.6019527316093445,0.4850012958049774,-0.10887029767036438,0.4644954800605774,0.48992598056793213,-0.01569022424519062,0.4854269027709961,0.5135698318481445,-0.06543458253145218,0.5609601736068726,0.542121410369873,-0.07927746325731277,0.6182180047035217,0.5552088618278503,-0.07448823750019073,0.45893147587776184,0.563886284828186,-0.011875366792082787,0.4920498728752136,0.5954746603965759,-0.060329511761665344,0.5702676773071289,0.6068788170814514,-0.05953160300850868,0.6257284283638,0.6061357259750366,-0.04368850961327553,0.4685693383216858,0.6354541182518005,-0.011517677456140518,0.4994097948074341,0.6650713682174683,-0.04834036901593208,0.5621501207351685,0.6673778891563416,-0.05135791748762131,0.6036641597747803,0.6544983983039856,-0.04036792740225792"
000018.png,A,"0.6579850912094116,0.7073440551757812,-1.0051461458715494e-06,0.6731457710266113,0.5767673254013062,-0.027123572304844856,0.6251264810562134,0.45688092708587646,-0.037887804210186005,0.5687819123268127,0.39449143409729004,-0.04710593819618225,0.5264098644256592,0.3367495536804199,-0.053715020418167114,0.507944643497467,0.41970914602279663,-0.028952348977327347,0.5560706257820129,0.3824908137321472,-0.07153742760419846,0.6006024479866028,0.44965726137161255,-0.10094372928142548,0.6274477243423462,0.5119091868400574,-0.1156768649816513,0.4693499207496643,0.47506827116012573,-0.028274953365325928,0.55129075050354,0.46254873275756836,-0.06659029424190521,0.5980371832847595,0.5407615303993225,-0.07846873253583908,0.6245796084403992,0.5968286395072937,-0.08063144981861115,0.45382124185562134,0.5383217334747314,-0.03281653672456741,0.5398790240287781,0.5374281406402588,-0.06826672703027725,0.5884389281272888,0.5999233722686768,-0.06713439524173737,0.6158328652381897,0.639973521232605,-0.05875172093510628,0.45325613021850586,0.6043437719345093,-0.04075208306312561,0.5138809084892273,0.6062729954719543,-0.06155947595834732,0.5610508322715759,0.6357753276824951,-0.0590004101395607,0.5881446003913879,0.6478091478347778,-0.050551943480968475"
000019.png,A,"0.7017024755477905,0.5887277722358704,9.992079696985456e-08,0.6800257563591003,0.453408807516098,-0.049785859882831573,0.5981065034866333,0.3793562948703766,-0.08073160797357559,0.516935408115387,0.3580898940563202,-0.1063668355345726,0.454163521528244,0.3489711284637451,-0.1263865977525711,0.49490198493003845,0.4185580015182495,-0.09347057342529297,0.49658021330833435,0.3762338161468506,-0.1684662252664566,0.5630043148994446,0.4104253053665161,-0.20043817162513733,0.6110627055168152,0.43871182203292847,-0.21086809039115906,0.47844362258911133,0.4976349472999573,-0.09325360506772995,0.5060644149780273,0.4700183868408203,-0.1778685748577118,0.5813129544258118,0.4880218207836151,-0.19373971223831177,0.6351516246795654,0.5026271343231201,-0.19045819342136383,0.48327764868736267,0.5730398297309875,-0.09971145540475845,0.5200563073158264,0.5595458745956421,-0.17692217230796814,0.5992375016212463,0.5631164312362671,-0.17105822265148163,0.6542618870735168,0.5653272271156311,-0.15082481503486633,0.49812108278274536,0.6375328302383423,-0.10991520434617996,0.5315415859222412,0.6234095096588135,-0.16584722697734833,0.589933454990387,0.6181777715682983,-0.16906632483005524,0.6299247741699219,0.6084821224212646,-0.159096360206604"
000020.png,A,"0.6541046500205994,0.6762927770614624,-7.348974122578511e-07,0.6769346594810486,0.5588904023170471,-0.07710158824920654,0.632969081401825,0.44983476400375366,-0.11427636444568634,0.5702595114707947,0.38910627365112305,-0.1391431838274002,0.5166381597518921,0.33243629336357117,-0.1566677987575531,0.5132932066917419,0.40577059984207153,-0.10466231405735016,0.5468513369560242,0.4170231521129608,-0.1829398274421692,0.5972902178764343,0.4941242039203644,-0.22063389420509338,0.6218366622924805,0.5410521030426025,-0.2368854582309723,0.4668043553829193,0.4687668979167938,-0.08847217261791229,0.5323843955993652,0.5115582346916199,-0.16808931529521942,0.5849030017852783,0.5765209794044495,-0.18018567562103271,0.6117280721664429,0.6017018556594849,-0.17521105706691742,0.44928640127182007,0.5412571430206299,-0.08273433148860931,0.5291680693626404,0.5993453860282898,-0.15397539734840393,0.5803672075271606,0.6341302394866943,-0.14859648048877716,0.6001936197280884,0.6386427283287048,-0.13188479840755463,0.4449361562728882,0.6138245463371277,-0.084247887134552,0.5151015520095825,0.6624563336372375,-0.1366448998451233,0.5660165548324585,0.6819107532501221,-0.14268392324447632,0.5845893025398254,0.6732932925224304,-0.13560578227043152"
000022.png,A,"0.6930397152900696,0.6239438652992249,-5.034408445681038e-07,0.6904854774475098,0.5027316808700562,-0.04110215604305267,0.6117557883262634,0.4061099886894226,-0.0544142946600914,0.5336397290229797,0.36367112398147583,-0.06204250454902649,0.4712078869342804,0.33176007866859436,-0.06454455852508545,0.4961029887199402,0.4142880439758301,-0.04491768404841423,0.5206514000892639,0.40213829278945923,-0.09662897884845734,0.5776240825653076,0.45191439986228943,-0.12343397736549377,0.6181325912475586,0.4922049045562744,-0.13177497684955597,0.46718448400497437,0.48467662930488586,-0.037839002907276154,0.5174082517623901,0.48465976119041443,-0.09000034630298615,0.5873199701309204,0.5255117416381836,-0.10141132771968842,0.6366415023803711,0.5571065545082092,-0.09681800752878189,0.46278756856918335,0.5590391159057617,-0.0374709889292717,0.5200991630554199,0.5698719024658203,-0.08428475260734558,0.5886338353157043,0.5884928703308105,-0.08239799737930298,0.6340740323066711,0.6045189499855042,-0.0685911700129509,0.47371983528137207,0.6344234347343445,-0.04093516990542412,0.5246411561965942,0.6398026943206787,-0.0753084048628807,0.5815473198890686,0.6428244709968567,-0.07811418175697327,0.6169741749763489,0.6425886750221252,-0.06927786767482758"
000023.png,A,"0.6899926662445068,0.6596240997314453,-6.873959250697226e-07,0.690093457698822,0.5408167243003845,-0.04852425679564476,0.6244487762451172,0.42969080805778503,-0.06405806541442871,0.5532452464103699,0.37654566764831543,-0.07298185676336288,0.49688106775283813,0.34107229113578796,-0.0758998915553093,0.5057422518730164,0.40281420946121216,-0.032795753329992294,0.5084117650985718,0.40254706144332886,-0.0832429900765419,0.5706831216812134,0.45799440145492554,-0.11223315447568893,0.6167598962783813,0.5027319192886353,-0.12109832465648651,0.4676627814769745,0.4722112715244293,-0.019663842394948006,0.4931045472621918,0.4869233965873718,-0.06989612430334091,0.5672832727432251,0.5382452607154846,-0.0807521864771843,0.6177206635475159,0.571479320526123,-0.07370802015066147,0.4512004554271698,0.5485022068023682,-0.01523322518914938,0.48700007796287537,0.5687281489372253,-0.06194686517119408,0.5616117119789124,0.6019871234893799,-0.05694317817687988,0.6126942038536072,0.6217048764228821,-0.03843415528535843,0.4496018886566162,0.6239603757858276,-0.015397581271827221,0.48082423210144043,0.6387600898742676,-0.048320941627025604,0.5418237447738647,0.655113935470581,-0.047307588160037994,0.581162691116333,0.6597299575805664,-0.03363616019487381"
